ang_vel_x,ang_vel_y,ang_vel_z,proj_grav_x,proj_grav_y,proj_grav_z,vel_cmd_x,vel_cmd_y,vel_cmd_z,jpos_Joint_l_hip_yaw,jpos_Joint_l_hip_roll,jpos_Joint_l_hip_pitch,jpos_Joint_r_hip_yaw,jpos_Joint_r_hip_roll,jpos_Joint_r_hip_pitch,jpos_Joint_l_knee_pitch,jpos_Joint_r_knee_pitch,jpos_Joint_l_ankle_pitch,jpos_Joint_l_ankle_roll,jpos_Joint_r_ankle_pitch,jpos_Joint_r_ankle_roll,jpos_Joint_l_shoulder_pitch,jpos_Joint_l_shoulder_roll,jpos_Joint_l_shoulder_yaw,jpos_Joint_r_shoulder_pitch,jpos_Joint_r_shoulder_roll,jpos_Joint_r_shoulder_yaw,jpos_Joint_l_elbow_pitch,jpos_Joint_r_elbow_pitch,jpos_Joint_neck_pitch,jpos_Joint_neck_yaw,jpos_Joint_abdomen_yaw,jvel_Joint_l_hip_yaw,jvel_Joint_l_hip_roll,jvel_Joint_l_hip_pitch,jvel_Joint_r_hip_yaw,jvel_Joint_r_hip_roll,jvel_Joint_r_hip_pitch,jvel_Joint_l_knee_pitch,jvel_Joint_r_knee_pitch,jvel_Joint_l_ankle_pitch,jvel_Joint_l_ankle_roll,jvel_Joint_r_ankle_pitch,jvel_Joint_r_ankle_roll,jvel_Joint_l_shoulder_pitch,jvel_Joint_l_shoulder_roll,jvel_Joint_l_shoulder_yaw,jvel_Joint_r_shoulder_pitch,jvel_Joint_r_shoulder_roll,jvel_Joint_r_shoulder_yaw,jvel_Joint_l_elbow_pitch,jvel_Joint_r_elbow_pitch,jvel_Joint_neck_pitch,jvel_Joint_neck_yaw,jvel_Joint_abdomen_yaw,act_Joint_l_hip_yaw,act_Joint_l_hip_roll,act_Joint_l_hip_pitch,act_Joint_r_hip_yaw,act_Joint_r_hip_roll,act_Joint_r_hip_pitch,act_Joint_l_knee_pitch,act_Joint_r_knee_pitch,act_Joint_l_ankle_pitch,act_Joint_l_ankle_roll,act_Joint_r_ankle_pitch,act_Joint_r_ankle_roll,act_Joint_l_shoulder_pitch,act_Joint_l_shoulder_roll,act_Joint_l_shoulder_yaw,act_Joint_r_shoulder_pitch,act_Joint_r_shoulder_roll,act_Joint_r_shoulder_yaw,act_Joint_l_elbow_pitch,act_Joint_r_elbow_pitch,act_Joint_neck_pitch,act_Joint_neck_yaw,act_Joint_abdomen_yaw
-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-1.00000000,0.00000000,0.00000000,0.00000000,0.08000000,-0.02000000,0.14000000,0.08000000,-0.02000000,0.14000000,-0.17000000,-0.17000000,-0.08000000,-0.02000000,-0.08000000,0.02000000,0.06000000,-0.25000000,0.00000000,0.06000000,-0.25000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.38285697,-0.01970715,-0.10215974,-0.00000000,-0.00000000,-1.00000000,0.00000000,0.00000000,0.00000000,0.00610000,0.00110000,-0.05490001,0.00610000,-0.00030000,-0.05520000,0.23599999,0.23599999,0.12630001,0.00520000,0.12630001,0.00520000,0.00140000,0.00029999,0.00420000,-0.00120000,-0.00100000,-0.00190000,0.00000000,0.00000000,-0.00540000,0.00480000,-0.00040000,0.62830001,0.12639999,0.62800002,0.63190001,-0.06220000,0.62800002,0.59719998,0.59729999,0.62809998,0.62769997,0.62819999,0.62809998,0.20280001,0.04120000,0.43050000,-0.21900000,-0.16530000,-0.20500000,-0.00570000,-0.00980000,-0.48800001,0.51020002,-0.12310000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
-0.20276152,-0.02562968,-0.08905856,0.00037943,0.00438749,-0.99999034,0.00000000,0.00000000,0.00000000,0.01870000,0.00180000,-0.05980000,0.01860000,-0.00160000,-0.06119999,0.24859999,0.24870001,0.11430000,0.01720000,0.13290000,-0.00480000,-0.00400000,0.00139999,0.00620000,-0.01240001,-0.00570001,-0.00120000,0.00000000,-0.00190000,-0.00740000,0.00490000,-0.00050000,0.62830001,0.00720000,-0.62830001,0.62870002,-0.11300000,-0.62760001,0.62830001,0.62840003,-0.62830001,0.56129998,0.62790000,-0.62830001,-0.55580002,0.07760000,0.09040000,-0.62830001,-0.29830000,0.04110000,0.00030000,-0.10780000,-0.26300001,-0.01390000,0.03190000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
-0.16000879,-0.01661239,-0.03626938,0.00087325,0.00083045,-0.99999928,0.00000000,0.00000000,0.00000000,0.00800000,0.00110000,-0.07240000,0.03130000,-0.00380000,-0.07380000,0.26120001,0.26130003,0.10170001,0.02630000,0.14550000,-0.01740000,-0.01190000,0.00299999,0.00690000,-0.02200000,-0.01090001,-0.00110000,-0.00270000,-0.00480000,-0.00960000,0.00370000,0.00780000,-0.62830001,-0.07220000,-0.62769997,0.62639999,-0.10490000,-0.62769997,0.62830001,0.62830001,-0.62830001,0.46079999,0.62809998,-0.62830001,-0.33530000,0.07990000,0.03320000,-0.41600001,-0.22160000,0.00670000,-0.13720000,-0.13390000,-0.03210000,-0.05940000,0.43920001,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
-0.09083787,0.01133554,-0.00043584,0.00104701,-0.00171224,-0.99999797,0.00000000,0.00000000,0.00000000,-0.00450000,-0.00150000,-0.08490001,0.01960000,-0.00560000,-0.08640000,0.27380002,0.27389997,0.08920000,0.03420000,0.14760000,-0.03000000,-0.01710000,0.00430000,0.00730000,-0.02900000,-0.01320000,-0.00080000,-0.00470000,-0.00580000,-0.00980000,0.00250000,0.00990000,-0.62830001,-0.17630000,-0.62589997,-0.62970001,-0.08160000,-0.62830001,0.62830001,0.62540001,-0.62819999,0.40730000,-0.06010000,-0.62830001,-0.23570000,0.05510000,0.01890000,-0.32089999,-0.02560000,0.01470000,-0.09230000,-0.02690000,0.03200000,-0.05730000,0.13360000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
-0.08484672,0.03025297,0.01608944,0.00071412,-0.00344453,-0.99999380,0.00000000,0.00000000,0.00000000,-0.01710000,-0.00580000,-0.09739999,0.00700000,-0.00710000,-0.09899999,0.28630000,0.28640002,0.07660000,0.04190000,0.13510001,-0.04260000,-0.02110000,0.00520000,0.00730000,-0.03500000,-0.01220000,-0.00070000,-0.00630000,-0.00620000,-0.00910000,0.00140000,0.01240000,-0.62830001,-0.24280000,-0.62720001,-0.62919998,-0.07570000,-0.62830001,0.62830001,0.62750000,-0.62830001,0.37270001,-0.62819999,-0.62830001,-0.17010000,0.03760000,-0.00080000,-0.27900001,0.12000000,0.00430000,-0.07010000,-0.01730000,0.03870000,-0.05030000,0.13869999,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
-0.08757132,0.03555175,-0.00526174,0.00006610,-0.00513806,-0.99998683,0.00000000,0.00000000,0.00000000,-0.02620000,-0.01330000,-0.10619999,-0.00590000,-0.00800000,-0.11189999,0.30159998,0.29750001,0.11000000,0.03550000,0.12200001,-0.05510000,-0.02450000,0.00500000,0.00750000,-0.04040000,-0.00980000,-0.00100000,-0.00790000,-0.00720000,-0.00740000,-0.00040000,0.01210000,1.06089997,-0.68030000,-0.34470001,-0.26390001,0.01290000,-0.63800001,0.61979997,-0.11660000,6.53639984,-1.99890006,-0.69669998,-0.64190000,-0.64700001,-0.17030001,0.08150000,-0.15760000,-0.09720000,-0.14100000,-0.21300000,-0.30919999,0.41330001,-0.18040000,-0.70420003,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
-0.09200866,-0.10713734,0.46841303,-0.00238297,-0.01069609,-0.99993998,0.00000000,0.00000000,0.00000000,-0.03150000,-0.01470000,-0.11830001,-0.01780000,-0.01480000,-0.12629999,0.31209999,0.31330001,0.14150000,0.02880000,0.14150000,-0.02130000,-0.02440000,0.00330001,0.00770000,-0.04040000,-0.01230000,-0.00100000,-0.00830000,-0.00630000,-0.00820000,0.00090000,0.01080000,-0.40669999,-0.14440000,-0.63489997,-0.23240000,-0.08300000,-0.53539997,0.62959999,0.58050001,0.68409997,-0.72570002,0.27810001,-0.05110000,0.05880000,-0.11860000,-0.00010000,-0.03450000,-0.09820000,0.00660000,-0.03390000,0.08030000,-0.00670000,-0.10360000,0.19440000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.18450637,0.02986221,0.33394465,-0.00082373,-0.01260563,-0.99992025,0.00000000,0.00000000,0.00000000,-0.02300000,-0.01910000,-0.12830000,-0.01210000,-0.01260000,-0.12890001,0.32520002,0.32590002,0.14480001,0.01170000,0.15459999,-0.01260000,-0.02810000,-0.00110000,0.00590000,-0.04730000,-0.01100001,-0.00200000,0.00010000,0.00010000,-0.01640000,-0.00230000,0.00720000,0.55290002,-0.25110000,-0.16320001,0.65120000,0.36140001,0.43799999,0.57599998,0.62169999,0.08960000,-0.53390002,0.53539997,0.52270001,-0.16300000,-0.36129999,-0.12080000,-0.37090001,0.28810000,-0.07730000,0.01030000,-0.01260000,-0.63389999,-0.17120001,-0.54650003,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.60430074,-0.13499768,0.03962648,-0.00118664,-0.00645639,-0.99997848,0.00000000,0.00000000,0.00000000,-0.01080000,-0.01770000,-0.12080000,-0.00100000,-0.01320000,-0.12409998,0.33829999,0.33899999,0.16110000,-0.00250000,0.16030000,0.00040000,-0.03110000,-0.00690000,0.00740000,-0.05870000,-0.00690000,-0.00200000,0.00000000,0.00000000,-0.02700000,-0.00330000,0.00860000,0.63709998,0.35420001,0.59149998,0.33280000,-0.27550000,0.26510000,0.62940001,0.63679999,0.59990001,-0.56510001,-0.10730000,0.64800000,-0.24339999,-0.24360000,0.07980000,-0.62099999,0.16490000,-0.00980000,-0.00360000,-0.00570000,-0.42170000,-0.02800000,0.20490000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
